candynum,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,imglink,hasegg,hasmilk,hassoy
64,Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998,https://candywarehouse.com/item-images/126858-01_sour-patch-kids-candy-2-ounce-packs-24-piece-box.jpg,1,1,1
65,Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947,https://candywarehouse.com/item-images/129105-01_sour-patch-kids-tricksters-candy-packs-15-piece-bag.jpg,1,1,1
66,Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,https://candywarehouse.com/item-images/131811-01_starburst-fruit-chews-candy-king-size-packs-24-piece-box.jpg,1,1,1
67,Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991,https://candywarehouse.com/item-images/130441-01_strawberry-bon-bons-candy-5lb-bag.jpg,1,1,1
68,Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,https://candywarehouse.com/item-images/127388-01_sugar-babies-candy-packs-24-piece-box.jpg,0,1,1
69,Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,https://candywarehouse.com/item-images/126971-01_sugar-daddy-pops-caramel-lollipops-24-piece-box.jpg,0,1,1
70,Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865,https://candywarehouse.com/item-images/134380-01_apple-super-bubble-gum-300-piece-box.jpg,1,0,1
71,Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,https://candywarehouse.com/item-images/131761-01_swedish-fish-candy-2-ounce-packs-24-piece-box.jpg,1,1,1
72,Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651,https://candywarehouse.com/item-images/131741-01_giant-tootsie-pops-72-piece-box.jpg,0,0,1
73,Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,https://candywarehouse.com/item-images/127386-01_tootsie-rolls-snack-size-bars-96-piece-tub.jpg,1,1,1
74,Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748,https://candywarehouse.com/item-images/127386-01_tootsie-rolls-snack-size-bars-96-piece-tub.jpg,1,1,1
75,Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,https://candywarehouse.com/item-images/127386-01_tootsie-rolls-snack-size-bars-96-piece-tub.jpg,1,1,1
76,Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,https://candywarehouse.com/item-images/128314-01_assorted-trolli-sour-brite-bites-9-ounce-bag.jpg,0,0,0
77,Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,https://candywarehouse.com/item-images/127612-01_twix-candy-bars-36-piece-box.jpg,1,1,1
78,Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282,https://candywarehouse.com/item-images/131787-01_twizzlers-strawberry-licorice-twists-king-size-packs-15-piece-box.jpg,0,0,1
79,Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898,https://candywarehouse.com/item-images/161063-01_mega-candy-lunch-box-warheads.jpg,0,0,1
80,Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,https://www.spanglercandy.com/media/catalog/product/cache/f93d626b5df97b7785a35bf5b2bd3381/c/h/chewy25098_1.jpg,0,1,1
81,Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308,https://www.candywarehouse.com/item-images/127855-01_werthers-original-hard-candy-150-piece-bag.jpg?resizeid=104&resizeh=1000&resizew=1000,1,1,1
82,Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,https://www.candywarehouse.com/item-images/127280-01_whoppers-candy-175-ounce-packs-24-piece-box.jpg?resizeid=104&resizeh=1000&resizew=1000,0,1,1
